change_id,title,description,status,risk,scheduled_for,approval_state
CHG-000001,App Release,Minor upgrade,Approved,Medium,2024-02-19,Not Required
CHG-000002,App Release,Minor upgrade,Rolled Back,Low,2025-06-26,Not Required
CHG-000003,DB Upgrade,Capacity increase,Rolled Back,High,2025-02-20,Rejected
CHG-000004,OS Patch,Feature rollout,Implemented,Low,2023-06-12,Not Required
CHG-000005,Storage Expansion,Monthly patching,Approved,High,2025-10-01,Not Required
CHG-000006,OS Patch,Security fix,Failed,Low,2024-09-19,CAB Approved
CHG-000007,Network Firmware,Feature rollout,Rolled Back,Low,2023-01-22,Not Required
CHG-000008,Storage Expansion,Feature rollout,Failed,High,2023-04-14,Rejected
CHG-000009,Storage Expansion,Minor upgrade,Approved,Medium,2023-08-19,Requested
CHG-000010,App Release,Capacity increase,In Progress,Low,2024-09-14,CAB Approved
CHG-000011,DB Upgrade,Capacity increase,Failed,Low,2024-07-21,CAB Approved
CHG-000012,App Release,Feature rollout,Rolled Back,High,2023-04-03,Rejected
CHG-000013,Storage Expansion,Security fix,Rolled Back,High,2023-02-22,Not Required
CHG-000014,Storage Expansion,Security fix,In Progress,Low,2024-06-20,Requested
CHG-000015,Network Firmware,Minor upgrade,In Progress,High,2024-10-05,Not Required
CHG-000016,OS Patch,Minor upgrade,Approved,High,2024-03-25,Requested
CHG-000017,OS Patch,Monthly patching,Approved,High,2023-05-01,Rejected
CHG-000018,OS Patch,Security fix,Implemented,Medium,2023-06-07,CAB Approved
CHG-000019,DB Upgrade,Feature rollout,Failed,Medium,2025-08-20,CAB Approved
CHG-000020,OS Patch,Capacity increase,Failed,High,2025-01-09,CAB Approved
CHG-000021,OS Patch,Security fix,Approved,High,2025-05-02,Not Required
CHG-000022,OS Patch,Monthly patching,Implemented,High,2024-11-28,Rejected
CHG-000023,OS Patch,Monthly patching,In Progress,High,2024-04-13,Requested
CHG-000024,Network Firmware,Capacity increase,Failed,High,2023-03-07,Not Required
CHG-000025,App Release,Monthly patching,Planned,Low,2025-05-11,Not Required
CHG-000026,Storage Expansion,Minor upgrade,Planned,Medium,2025-06-12,Rejected
CHG-000027,DB Upgrade,Feature rollout,In Progress,Low,2025-05-13,Requested
CHG-000028,App Release,Security fix,Approved,Low,2024-07-22,CAB Approved
CHG-000029,OS Patch,Capacity increase,Failed,High,2025-11-22,CAB Approved
CHG-000030,Storage Expansion,Minor upgrade,Failed,Low,2024-05-20,Rejected
CHG-000031,Storage Expansion,Feature rollout,Approved,Low,2025-03-19,CAB Approved
CHG-000032,DB Upgrade,Security fix,Rolled Back,High,2025-03-14,CAB Approved
CHG-000033,App Release,Minor upgrade,In Progress,Low,2025-09-24,Requested
CHG-000034,DB Upgrade,Security fix,Approved,High,2023-06-14,Not Required
CHG-000035,Network Firmware,Capacity increase,Rolled Back,High,2025-05-05,CAB Approved
CHG-000036,OS Patch,Minor upgrade,Approved,Low,2025-10-09,CAB Approved
CHG-000037,App Release,Minor upgrade,Approved,High,2023-06-03,Not Required
CHG-000038,DB Upgrade,Feature rollout,Failed,Medium,2025-11-12,CAB Approved
CHG-000039,Storage Expansion,Capacity increase,Implemented,Low,2023-04-08,Requested
CHG-000040,Storage Expansion,Monthly patching,In Progress,Medium,2023-12-22,CAB Approved
CHG-000041,DB Upgrade,Monthly patching,Approved,Medium,2025-08-23,Rejected
CHG-000042,Storage Expansion,Minor upgrade,Implemented,Medium,2023-10-24,Not Required
CHG-000043,Network Firmware,Capacity increase,Failed,High,2025-10-18,Requested
CHG-000044,App Release,Monthly patching,Implemented,Medium,2023-04-17,Not Required
CHG-000045,OS Patch,Feature rollout,Implemented,High,2025-01-07,Rejected
CHG-000046,Storage Expansion,Capacity increase,In Progress,Medium,2024-03-14,Rejected
CHG-000047,App Release,Monthly patching,Rolled Back,High,2023-08-27,Not Required
CHG-000048,OS Patch,Feature rollout,Planned,Low,2025-12-18,CAB Approved
CHG-000049,Storage Expansion,Capacity increase,In Progress,Medium,2023-03-15,CAB Approved
CHG-000050,Storage Expansion,Monthly patching,In Progress,Medium,2025-11-23,CAB Approved
CHG-000051,OS Patch,Monthly patching,Planned,High,2024-11-12,Requested
CHG-000052,App Release,Capacity increase,Rolled Back,High,2025-03-13,Not Required
CHG-000053,OS Patch,Minor upgrade,In Progress,High,2025-03-06,CAB Approved
CHG-000054,DB Upgrade,Monthly patching,Implemented,Medium,2024-12-25,Not Required
CHG-000055,Network Firmware,Minor upgrade,Planned,Low,2023-01-20,Rejected
CHG-000056,OS Patch,Capacity increase,Implemented,Medium,2025-01-20,Not Required
CHG-000057,DB Upgrade,Minor upgrade,Failed,High,2024-08-14,Not Required
CHG-000058,OS Patch,Feature rollout,Failed,Low,2023-09-09,CAB Approved
CHG-000059,OS Patch,Minor upgrade,Approved,Low,2025-06-02,CAB Approved
CHG-000060,OS Patch,Feature rollout,Failed,Medium,2024-02-02,Requested
CHG-000061,Storage Expansion,Minor upgrade,Approved,High,2024-10-22,CAB Approved
CHG-000062,Storage Expansion,Feature rollout,In Progress,Low,2023-05-11,Rejected
CHG-000063,Storage Expansion,Monthly patching,Implemented,High,2023-05-16,CAB Approved
CHG-000064,OS Patch,Security fix,In Progress,High,2024-09-07,CAB Approved
CHG-000065,App Release,Monthly patching,Planned,High,2025-11-17,Requested
CHG-000066,Storage Expansion,Feature rollout,Rolled Back,Medium,2024-10-28,Rejected
CHG-000067,Network Firmware,Feature rollout,Failed,High,2024-03-20,Not Required
CHG-000068,App Release,Capacity increase,Implemented,Low,2025-04-23,Rejected
CHG-000069,DB Upgrade,Monthly patching,Planned,Low,2024-11-26,Requested
CHG-000070,DB Upgrade,Feature rollout,Implemented,Medium,2023-06-12,CAB Approved
CHG-000071,OS Patch,Minor upgrade,Rolled Back,Medium,2024-02-10,Rejected
CHG-000072,App Release,Feature rollout,In Progress,Low,2023-11-11,Rejected
CHG-000073,Storage Expansion,Feature rollout,Failed,Low,2023-04-11,Rejected
CHG-000074,Storage Expansion,Capacity increase,Planned,High,2023-08-05,Not Required
CHG-000075,App Release,Security fix,Implemented,Medium,2025-01-27,Rejected
CHG-000076,App Release,Security fix,Failed,High,2023-04-19,Rejected
CHG-000077,Network Firmware,Monthly patching,Approved,Medium,2023-06-13,CAB Approved
CHG-000078,App Release,Feature rollout,Implemented,Low,2025-02-28,Rejected
CHG-000079,Network Firmware,Monthly patching,In Progress,Medium,2023-08-08,Rejected
CHG-000080,Storage Expansion,Security fix,Approved,High,2024-03-04,Rejected
CHG-000081,OS Patch,Minor upgrade,Planned,Medium,2025-01-26,Not Required
CHG-000082,App Release,Minor upgrade,Approved,Medium,2024-12-28,Rejected
CHG-000083,Network Firmware,Minor upgrade,Planned,High,2025-03-07,Requested
CHG-000084,Storage Expansion,Capacity increase,Rolled Back,High,2023-01-10,Requested
CHG-000085,App Release,Monthly patching,In Progress,Medium,2023-02-17,Rejected
CHG-000086,OS Patch,Feature rollout,In Progress,High,2023-06-07,CAB Approved
CHG-000087,Network Firmware,Security fix,Failed,Medium,2024-11-04,Rejected
CHG-000088,DB Upgrade,Minor upgrade,In Progress,Low,2023-10-18,Requested
CHG-000089,DB Upgrade,Feature rollout,In Progress,High,2024-05-05,Rejected
CHG-000090,App Release,Minor upgrade,Approved,Low,2024-10-11,Not Required
CHG-000091,OS Patch,Minor upgrade,Planned,Medium,2025-01-04,Not Required
CHG-000092,OS Patch,Monthly patching,Implemented,Medium,2023-12-20,Not Required
CHG-000093,App Release,Security fix,In Progress,Medium,2023-12-25,Requested
CHG-000094,Storage Expansion,Feature rollout,Approved,Low,2025-08-04,Not Required
CHG-000095,Network Firmware,Capacity increase,Implemented,Low,2023-03-28,Rejected
CHG-000096,Network Firmware,Capacity increase,Approved,High,2025-06-26,Rejected
CHG-000097,Storage Expansion,Capacity increase,Planned,Low,2024-02-12,Not Required
CHG-000098,Storage Expansion,Minor upgrade,In Progress,Medium,2025-10-05,Requested
CHG-000099,Storage Expansion,Monthly patching,In Progress,High,2025-02-26,Rejected
CHG-000100,App Release,Capacity increase,Implemented,High,2024-04-20,CAB Approved
CHG-000101,App Release,Minor upgrade,Implemented,Medium,2023-06-07,Not Required
CHG-000102,Storage Expansion,Feature rollout,In Progress,High,2025-04-06,Requested
CHG-000103,App Release,Capacity increase,Planned,High,2025-08-11,Requested
CHG-000104,Storage Expansion,Minor upgrade,In Progress,Medium,2023-10-04,Not Required
CHG-000105,Network Firmware,Capacity increase,Rolled Back,High,2023-02-07,CAB Approved
CHG-000106,App Release,Monthly patching,Approved,High,2023-08-18,Rejected
CHG-000107,Storage Expansion,Feature rollout,Failed,Medium,2023-04-22,Rejected
CHG-000108,Network Firmware,Feature rollout,Rolled Back,Medium,2024-12-12,Requested
CHG-000109,App Release,Monthly patching,Failed,High,2024-03-28,Rejected
CHG-000110,OS Patch,Security fix,Failed,Low,2023-12-18,Rejected
CHG-000111,OS Patch,Security fix,Planned,Low,2024-12-19,Not Required
CHG-000112,Network Firmware,Capacity increase,Implemented,Medium,2024-09-07,CAB Approved
CHG-000113,Storage Expansion,Minor upgrade,Approved,High,2024-06-27,Not Required
CHG-000114,DB Upgrade,Security fix,Rolled Back,Low,2023-01-03,Requested
CHG-000115,DB Upgrade,Capacity increase,Rolled Back,Medium,2023-02-05,Not Required
CHG-000116,Storage Expansion,Feature rollout,Implemented,High,2023-08-17,Not Required
CHG-000117,App Release,Capacity increase,Implemented,Medium,2023-03-14,Requested
CHG-000118,App Release,Capacity increase,Rolled Back,Low,2025-09-09,Not Required
CHG-000119,App Release,Feature rollout,In Progress,Low,2023-10-16,Rejected
CHG-000120,OS Patch,Feature rollout,Implemented,High,2023-03-24,Rejected
CHG-000121,Storage Expansion,Feature rollout,Planned,High,2025-02-08,Not Required
CHG-000122,OS Patch,Feature rollout,Failed,Medium,2025-01-11,Requested
CHG-000123,Storage Expansion,Capacity increase,Failed,Medium,2025-12-11,Not Required
CHG-000124,Network Firmware,Security fix,In Progress,Low,2023-12-20,Rejected
CHG-000125,App Release,Security fix,Planned,High,2024-10-06,Requested
CHG-000126,Network Firmware,Feature rollout,Planned,Medium,2024-02-05,Requested
CHG-000127,Network Firmware,Security fix,Approved,High,2024-05-28,Rejected
CHG-000128,OS Patch,Monthly patching,Failed,Low,2025-12-05,Not Required
CHG-000129,Network Firmware,Minor upgrade,In Progress,High,2023-08-06,Requested
CHG-000130,Network Firmware,Monthly patching,Approved,High,2023-08-25,Not Required
CHG-000131,Storage Expansion,Minor upgrade,Rolled Back,Medium,2025-11-06,CAB Approved
CHG-000132,App Release,Security fix,Planned,High,2024-02-02,CAB Approved
CHG-000133,Storage Expansion,Capacity increase,Implemented,Medium,2024-12-25,CAB Approved
CHG-000134,Storage Expansion,Capacity increase,Implemented,Medium,2023-09-28,Not Required
CHG-000135,OS Patch,Security fix,Implemented,Medium,2025-06-17,Requested
CHG-000136,OS Patch,Feature rollout,Rolled Back,Medium,2024-10-21,Rejected
CHG-000137,Network Firmware,Security fix,In Progress,Low,2024-11-19,Not Required
CHG-000138,Storage Expansion,Minor upgrade,Rolled Back,High,2025-04-17,Rejected
CHG-000139,DB Upgrade,Security fix,Failed,Low,2025-01-27,Requested
CHG-000140,OS Patch,Capacity increase,Planned,High,2023-11-15,Rejected
CHG-000141,DB Upgrade,Security fix,In Progress,Low,2023-01-20,Requested
CHG-000142,OS Patch,Feature rollout,Rolled Back,Low,2025-11-04,Requested
CHG-000143,OS Patch,Feature rollout,Approved,Medium,2025-11-19,CAB Approved
CHG-000144,OS Patch,Minor upgrade,In Progress,Medium,2024-11-03,Not Required
CHG-000145,Network Firmware,Capacity increase,Rolled Back,High,2024-05-06,Requested
CHG-000146,Network Firmware,Monthly patching,Implemented,Medium,2024-01-09,Rejected
CHG-000147,DB Upgrade,Capacity increase,Planned,Medium,2023-10-13,CAB Approved
CHG-000148,Storage Expansion,Monthly patching,Approved,High,2024-04-20,Requested
CHG-000149,Storage Expansion,Security fix,Planned,Low,2023-02-19,Rejected
CHG-000150,Storage Expansion,Monthly patching,Implemented,Low,2025-11-01,Requested
