incident_id,title,description,severity,status,created_at,priority
INC-000001,Service outage,Database timeout,P2,Open,2024-05-18,Medium
INC-000002,Service outage,API failing intermittently,P2,Closed,2024-01-10,High
INC-000003,Slow response,API failing intermittently,P1,Open,2023-09-18,Critical
INC-000004,Delayed delivery,Customer reported delay,P1,In Progress,2025-07-27,Critical
INC-000005,Packet loss,API failing intermittently,P3,Closed,2025-02-24,High
INC-000006,Service outage,Disk full warning,P3,Resolved,2023-02-03,Critical
INC-000007,Packet loss,Database timeout,P3,Open,2025-04-09,Low
INC-000008,DB error,Disk full warning,P3,Closed,2024-06-01,Low
INC-000009,Delayed delivery,Customer reported delay,P3,Open,2025-12-20,Critical
INC-000010,Delayed delivery,API failing intermittently,P1,Open,2024-09-04,Medium
INC-000011,Delayed delivery,Database timeout,P3,Open,2024-08-13,Low
INC-000012,Delayed delivery,Customer reported delay,P2,In Progress,2025-04-05,Low
INC-000013,Login failure,Database timeout,P3,In Progress,2024-11-26,Medium
INC-000014,Service outage,API failing intermittently,P3,In Progress,2023-01-01,Low
INC-000015,Login failure,API failing intermittently,P1,Resolved,2023-12-24,Medium
INC-000016,Packet loss,Disk full warning,P3,In Progress,2023-03-08,Medium
INC-000017,Packet loss,Customer reported delay,P1,Open,2025-08-21,Critical
INC-000018,Slow response,Customer reported delay,P2,Open,2023-12-19,Low
INC-000019,Slow response,Database timeout,P1,In Progress,2023-05-20,Critical
INC-000020,Packet loss,Database timeout,P2,Closed,2024-10-22,Medium
INC-000021,Delayed delivery,API failing intermittently,P1,Resolved,2024-07-06,Critical
INC-000022,Slow response,Packet drops on core switch,P1,Closed,2024-06-05,Medium
INC-000023,DB error,Disk full warning,P2,Resolved,2024-08-18,Critical
INC-000024,Packet loss,API failing intermittently,P1,Resolved,2023-09-07,Medium
INC-000025,Delayed delivery,Customer reported delay,P3,Open,2023-09-21,Critical
INC-000026,Login failure,API failing intermittently,P2,In Progress,2023-09-09,Low
INC-000027,Delayed delivery,Packet drops on core switch,P2,Closed,2023-10-24,Medium
INC-000028,Packet loss,Disk full warning,P3,Open,2024-06-17,Critical
INC-000029,Delayed delivery,Packet drops on core switch,P3,In Progress,2025-03-15,High
INC-000030,Packet loss,API failing intermittently,P3,In Progress,2025-12-16,Medium
INC-000031,Service outage,Packet drops on core switch,P2,In Progress,2023-05-12,High
INC-000032,Service outage,Packet drops on core switch,P3,Resolved,2024-08-15,Critical
INC-000033,Service outage,Database timeout,P1,Resolved,2025-05-19,High
INC-000034,DB error,Disk full warning,P2,Open,2025-05-13,High
INC-000035,Login failure,Disk full warning,P2,Resolved,2024-08-20,Critical
INC-000036,Login failure,Packet drops on core switch,P2,In Progress,2023-02-17,Medium
INC-000037,Packet loss,Packet drops on core switch,P1,In Progress,2024-10-23,Critical
INC-000038,Delayed delivery,Packet drops on core switch,P2,Resolved,2025-02-16,Low
INC-000039,DB error,Packet drops on core switch,P3,In Progress,2025-07-01,High
INC-000040,Service outage,Packet drops on core switch,P3,In Progress,2023-11-17,Critical
INC-000041,Login failure,Packet drops on core switch,P1,In Progress,2024-03-17,Low
INC-000042,Login failure,API failing intermittently,P3,Open,2025-12-22,Medium
INC-000043,Service outage,Packet drops on core switch,P2,Closed,2024-03-08,Low
INC-000044,Login failure,Packet drops on core switch,P3,In Progress,2025-11-17,Medium
INC-000045,Packet loss,Database timeout,P2,Open,2023-07-13,High
INC-000046,Service outage,Customer reported delay,P1,Closed,2023-10-04,High
INC-000047,DB error,API failing intermittently,P3,Open,2025-09-25,Critical
INC-000048,Service outage,Disk full warning,P3,In Progress,2025-09-27,Critical
INC-000049,Delayed delivery,Disk full warning,P3,Closed,2024-01-23,Low
INC-000050,Packet loss,Disk full warning,P2,Resolved,2025-12-25,Critical
INC-000051,DB error,Packet drops on core switch,P2,Closed,2023-02-10,Low
INC-000052,Slow response,Packet drops on core switch,P1,Open,2025-09-04,Critical
INC-000053,DB error,Packet drops on core switch,P3,Resolved,2024-06-04,High
INC-000054,DB error,API failing intermittently,P2,Resolved,2025-07-19,Medium
INC-000055,Login failure,Database timeout,P3,Closed,2023-07-18,Low
INC-000056,Packet loss,Database timeout,P3,Closed,2024-05-19,Medium
INC-000057,Delayed delivery,Disk full warning,P3,In Progress,2025-02-24,High
INC-000058,DB error,Packet drops on core switch,P1,In Progress,2025-07-26,Medium
INC-000059,Login failure,API failing intermittently,P3,Open,2023-07-21,Critical
INC-000060,Service outage,Packet drops on core switch,P2,Closed,2023-02-09,High
INC-000061,Slow response,Customer reported delay,P3,Open,2025-07-13,Medium
INC-000062,Delayed delivery,API failing intermittently,P1,In Progress,2025-08-15,Critical
INC-000063,Packet loss,API failing intermittently,P2,In Progress,2023-10-17,High
INC-000064,Login failure,Packet drops on core switch,P3,Open,2024-04-21,Critical
INC-000065,Packet loss,Customer reported delay,P2,Closed,2024-11-13,Low
INC-000066,Login failure,Packet drops on core switch,P3,Open,2025-12-03,Critical
INC-000067,Login failure,Database timeout,P3,Resolved,2024-05-08,High
INC-000068,DB error,Disk full warning,P3,Open,2024-03-14,Critical
INC-000069,Login failure,Customer reported delay,P3,Resolved,2024-02-26,Medium
INC-000070,Login failure,API failing intermittently,P2,Closed,2024-10-16,High
INC-000071,Slow response,Disk full warning,P3,Closed,2025-01-16,Critical
INC-000072,Slow response,Customer reported delay,P2,In Progress,2025-12-08,Medium
INC-000073,DB error,Database timeout,P3,Open,2025-05-08,Medium
INC-000074,Service outage,Disk full warning,P3,Resolved,2023-09-06,Low
INC-000075,Slow response,Database timeout,P1,Resolved,2023-12-22,High
INC-000076,DB error,Packet drops on core switch,P1,In Progress,2024-04-08,High
INC-000077,Packet loss,API failing intermittently,P2,In Progress,2023-02-03,Low
INC-000078,Login failure,Customer reported delay,P3,Open,2024-06-20,Medium
INC-000079,DB error,API failing intermittently,P2,Closed,2023-09-09,Low
INC-000080,Packet loss,API failing intermittently,P1,Open,2025-07-16,Critical
INC-000081,Login failure,Database timeout,P2,In Progress,2024-02-23,Low
INC-000082,Slow response,Customer reported delay,P1,In Progress,2024-10-04,Medium
INC-000083,Slow response,API failing intermittently,P2,In Progress,2025-05-08,Medium
INC-000084,DB error,API failing intermittently,P2,Resolved,2023-08-14,High
INC-000085,DB error,Database timeout,P2,Closed,2024-08-06,High
INC-000086,Login failure,Packet drops on core switch,P1,Resolved,2023-09-14,Low
INC-000087,Packet loss,Packet drops on core switch,P3,In Progress,2024-01-06,Low
INC-000088,DB error,Packet drops on core switch,P3,Resolved,2024-05-09,Critical
INC-000089,DB error,Customer reported delay,P3,In Progress,2023-04-27,Medium
INC-000090,DB error,Customer reported delay,P2,Resolved,2024-06-12,Medium
INC-000091,Slow response,Customer reported delay,P2,Open,2024-11-20,High
INC-000092,Login failure,API failing intermittently,P3,In Progress,2024-06-11,Low
INC-000093,Delayed delivery,Disk full warning,P1,Closed,2025-05-15,High
INC-000094,Packet loss,Database timeout,P2,Closed,2023-02-06,Medium
INC-000095,Packet loss,Database timeout,P2,Resolved,2025-05-20,Low
INC-000096,Slow response,Disk full warning,P2,Closed,2024-03-06,Critical
INC-000097,Packet loss,Packet drops on core switch,P3,Resolved,2025-12-24,Critical
INC-000098,Packet loss,Packet drops on core switch,P2,Open,2023-02-16,Critical
INC-000099,Service outage,Disk full warning,P3,Open,2023-05-20,High
INC-000100,Service outage,Disk full warning,P2,In Progress,2023-12-10,Low
INC-000101,Delayed delivery,Packet drops on core switch,P1,In Progress,2023-01-22,Medium
INC-000102,Slow response,Disk full warning,P2,Resolved,2025-08-05,High
INC-000103,Login failure,API failing intermittently,P2,Closed,2025-11-21,Medium
INC-000104,Slow response,Disk full warning,P3,In Progress,2023-08-10,Medium
INC-000105,DB error,Database timeout,P1,Resolved,2023-01-17,High
INC-000106,Slow response,Database timeout,P2,Open,2025-08-25,Low
INC-000107,Slow response,Customer reported delay,P2,Resolved,2025-04-26,Critical
INC-000108,Login failure,Database timeout,P1,Closed,2025-07-13,High
INC-000109,Packet loss,Disk full warning,P2,In Progress,2024-02-14,High
INC-000110,Login failure,API failing intermittently,P3,Resolved,2024-11-24,Medium
INC-000111,DB error,Packet drops on core switch,P1,In Progress,2023-05-04,Low
INC-000112,Login failure,Disk full warning,P2,Closed,2023-06-01,High
INC-000113,Service outage,API failing intermittently,P1,In Progress,2023-05-09,High
INC-000114,Delayed delivery,Disk full warning,P3,Open,2023-02-05,Critical
INC-000115,DB error,Packet drops on core switch,P2,Closed,2024-08-12,Low
INC-000116,Delayed delivery,Customer reported delay,P2,Open,2023-01-09,Low
INC-000117,Service outage,API failing intermittently,P2,In Progress,2023-05-27,Low
INC-000118,Service outage,Customer reported delay,P3,In Progress,2024-08-08,Critical
INC-000119,Packet loss,Disk full warning,P3,Open,2025-11-07,Low
INC-000120,DB error,Database timeout,P2,In Progress,2025-12-02,Critical
INC-000121,Slow response,Disk full warning,P3,Resolved,2023-06-02,High
INC-000122,Service outage,Packet drops on core switch,P3,Closed,2024-01-06,Medium
INC-000123,Login failure,Customer reported delay,P2,In Progress,2023-01-19,Low
INC-000124,Delayed delivery,API failing intermittently,P1,Resolved,2023-04-06,Low
INC-000125,Service outage,API failing intermittently,P2,Open,2023-06-21,High
INC-000126,Delayed delivery,API failing intermittently,P1,In Progress,2024-04-11,Medium
INC-000127,DB error,Packet drops on core switch,P1,Closed,2024-12-05,Medium
INC-000128,Service outage,Disk full warning,P3,Closed,2025-05-18,Low
INC-000129,Packet loss,API failing intermittently,P1,Resolved,2024-12-15,Medium
INC-000130,Login failure,API failing intermittently,P1,Open,2025-03-15,Medium
INC-000131,Slow response,API failing intermittently,P2,Closed,2023-11-17,Low
INC-000132,Delayed delivery,Packet drops on core switch,P1,Resolved,2025-04-11,Critical
INC-000133,Delayed delivery,API failing intermittently,P2,In Progress,2025-11-16,High
INC-000134,Login failure,Database timeout,P2,Closed,2025-06-04,Critical
INC-000135,Login failure,Customer reported delay,P1,In Progress,2023-01-07,Critical
INC-000136,DB error,Packet drops on core switch,P1,Open,2025-11-27,Low
INC-000137,Delayed delivery,Disk full warning,P3,Resolved,2023-06-08,Critical
INC-000138,Service outage,Packet drops on core switch,P3,Closed,2023-08-26,Critical
INC-000139,Slow response,API failing intermittently,P3,Closed,2024-12-02,Medium
INC-000140,Login failure,Customer reported delay,P3,Open,2024-02-07,Critical
INC-000141,Service outage,Packet drops on core switch,P3,Closed,2023-04-17,High
INC-000142,Login failure,Packet drops on core switch,P3,Closed,2025-02-25,Medium
INC-000143,Delayed delivery,Disk full warning,P3,Closed,2023-03-26,High
INC-000144,Login failure,Disk full warning,P3,Resolved,2025-03-18,Low
INC-000145,Slow response,Database timeout,P3,Resolved,2024-07-25,Low
INC-000146,Delayed delivery,Database timeout,P3,In Progress,2025-09-07,Low
INC-000147,Login failure,Database timeout,P2,Closed,2024-07-01,Critical
INC-000148,Slow response,API failing intermittently,P1,In Progress,2024-01-10,High
INC-000149,Packet loss,Database timeout,P1,Resolved,2025-09-18,High
INC-000150,Service outage,Customer reported delay,P2,Resolved,2023-03-09,Medium
